id,display_name,alt_names,street,postnummer,ort,kommun,lan,lat,lon,svardighet
344,Brf Sturen Mindre 4,,Katarina Västra Kyrkogata 4,11625,Stockholm,Stockholms kommun,Stockholms län,59.3167278,18.0766559,2
345,Katarina Västra Skola Brf,,Katarina Västra Kyrkogata 10,11625,Stockholm,Stockholms kommun,Stockholms län,59.3160311,18.0770061,2
346,Vintertullstorget 1 Brf,,Katarina Bangata 79,11642,Stockholm,Stockholms kommun,Stockholms län,59.3080438,18.0906806,2
347,Gjuteriet 9 Brf,,Karlsviksgatan 7,11240,Stockholm,Stockholms kommun,Stockholms län,59.3302811,18.0285711,2
348,Snötäcket Brf,,Karlskronavägen,12152,Stockholm,Stockholms kommun,Stockholms län,59.2933768,18.1143230,2
349,BRF Urnan 23,,Karlbergsvägen 62,11341,Stockholm,Stockholms kommun,Stockholms län,59.3425542,18.0333275,2
350,Flora UPA bf,,Karlbergsvägen 56,11337,Stockholm,Stockholms kommun,Stockholms län,59.3426227,18.0350684,2
351,Brf Verdandi 2,,Karlbergsvägen 46A,11337,Stockholm,Stockholms kommun,Stockholms län,59.3428149,18.0381366,2
352,Kamelian 15 Brf,,Karlbergsvägen 35,11362,Stockholm,Stockholms kommun,Stockholms län,59.3424215,18.0396251,2
353,Rosen 13 & 14 Brf,,Karlbergsvägen,11327,Stockholm,Stockholms kommun,Stockholms län,59.3431075,18.0501781,2
354,Näktergalen 26 Brf,,Karlavägen 15,11431,Stockholm,Stockholms kommun,Stockholms län,59.3427670,18.0687519,2
355,Furiren nr 6 Brf,,Karlavägen 101,11522,Stockholm,Stockholms kommun,Stockholms län,59.3370413,18.0941447,2
356,Trumslagaren 11 686 Brf,,Karlaplan 14,11520,Stockholm,Stockholms kommun,Stockholms län,59.3380999,18.0912452,2
357,Brf Vega Skogsgläntan,,Karahavsvägen 12,13658,Vega,Haninge kommun,Stockholms län,59.1842258,18.1278418,2
358,Central Brf i Stockholm,,Kapellgränd 6,11621,Stockholm,Stockholms kommun,Stockholms län,59.3162401,18.0738884,2
359,Brofästet 1 Brf,,Kanalvägen 18A-D,18426,Åkersberga,Österåkers kommun,Stockholms län,59.4816233,18.2913047,2
360,Vingråen 6 Brf,,Kammakargatan 46,11160,Stockholm,Stockholms kommun,Stockholms län,59.3376659,18.0563180,2
361,Kammakargatan 18 Brf,,Kammakargatan 18,11140,Stockholm,Stockholms kommun,Stockholms län,59.3392732,18.0624716,2
362,Norra Parken 2 i Näsby Slottspark Brf,,Kadettens gata,18352,Täby,Täby kommun,Stockholms län,59.4261747,18.0888704,2
364,Fornkullen Brf,,Jämtlandsgatan 152,16257,Vällingby,Stockholms kommun,Stockholms län,59.3628350,17.8682079,2
365,Fyrfärgspennan 1 Brf,,Jämtlandsgatan 150,16257,Vällingby,Stockholms kommun,Stockholms län,59.3624790,17.8688131,2
366,Brf Solbacka Park,,Junovägen,76165,Norrtälje,Norrtälje kommun,Stockholms län,59.7718147,18.7354556,2
367,Artilleriberget nr 3 Brf,,Jungfrugatan 58,11531,Stockholm,Stockholms kommun,Stockholms län,59.3423523,18.0864609,2
368,Päronträdet 14 Brf,,John Ericssonsgatan 14,11222,Stockholm,Stockholms kommun,Stockholms län,59.3290687,18.0379605,2
369,Arlaparken Brf,,Johanneshovsvägen 102,12050,Stockholm,Stockholms kommun,Stockholms län,59.2932668,18.0589145,2
370,L-O Malmström m.fl Vildmannen 2,,Jakobsbergsgatan 8,11434,Stockholm,Stockholms kommun,Stockholms län,59.3349406,18.0717929,2
371,HSB Brf Portalen 242,,Jakob Westinsgatan 7,11220,Stockholm,Stockholms kommun,Stockholms län,59.3277148,18.0446865,2
